       31      30      31      37      37      32      35      42
       34      39      32      32      34      32      41      27
       29      33      41      33      26      30      31      41
       36      27      30      33      35      34      29      30
       32      45      41      39      41      34      43      36
       36      34      35      36      38      41      31      37
       38      42      35      44      42      44      42      52
       57      54      72      77     119     176     307     538
      873    1225    1473    1600    1505    1229     913     572
      351     246     173     135     125      90      90      67
       62      51      39      46      51      49      58      46
       43      41      36      40      38      38      35      30
       34      35      37      34      34      31      42      36
       38      26      33      29      31      36      33      35
       45      40      28      25      35      32      27      28
       34      29      36      37      24      28      34      31
       25      28      28      48      28      30      25      35
       29      34      29      29      32      27      34      29
       31      31      33      36      38      40      36      32
       35      37      28      39      29      27      30      29
       34      31      34      36      38      39      31      40
       33      26      31      38      30      40      25      35
       42      32      29      31      54      22      36      23
       33      28      40      40      36      31      28      29
       35      30      37      30      32      34      29      39
       33      31      29      36      40      30      41      33
       32      33      32      37      30      31      37      34
       29      38      31      38      40      35      31      37
       32      35      35      27      32      46      36      41
       42      31      36      36      21      45      35      35
       36      45      33      43      43      33      35      45
       46      38      39      33      38      48      45      38
       38      50      38      48      42      42      28      48
       37      38      50      32      45      43      44      45
       42      47      57      45      50      37      42      57
       40      53      48      50      47      58      53      54
       63      64      72      78      83      93     100     112
      122     175     205     318     497     930    1612    2448
     3466    4170    4446    4130    3395    2422    1500     840
      469     293     220     157     133     102      97      98
       80      83      75      65      62      59      54      52
       54      54      54      49      55      56      45      37
       52      40      50      44      44      42      35      44
       45      35      44      43      37      42      35      47
       43      30      31      45      45      38      36      30
       34      39      33      31      34      38      46      36
       27      34      39      37      47      40      39      47
       60      62      62      52      45      43      48      42
       43      48      58      66      83      81      76      63
       56      53      34      44      34      38      32      33
       37      29      41      27      32      29      32      27
       39      34      32      27      30      31      22      40
       37      40      35      28      25      38      31      43
       29      28      31      29      38      29      32      37
       34      34      39      36      32      34      34      29
       14      34      34      32      25      27      28      30
       30      27      33      30      30      33      31      28
       30      21      29      38      18      29      26      26
       46      29      32      22      27      26      25      37
       32      42      20      30      27      23      32      43
       35      35      20      17      30      33      25      38
       43      35      31      19      38      28      28      28
       26      33      26      24      27      19      34      27
       37      34      30      31      29      30      34      27
       33      35      35      37      37      37      46      33
       40      48      51      46      58      63      64      68
       79     106     154     259     471     831    1298    1682
     2071    2206    1978    1550    1080     636     360     212
      128     143     133     153     173     203     233     251
      258     246     224     201     162     131     113      96
       76      59      58      52      41      44      39      37
       41      35      32      45      42      29      45      38
       42      45      35      35      35      25      43      25
       25      35      40      30      38      33      31      34
       33      31      26      27      28      39      26      34
       22      25      32      32      24      30      37      32
       29      25      32      32      29      30      25      30
       38      28      35      28      27      38      33      38
       22      25      28      33      37      26      38      26
       38      26      27      38      31      28      41      31
       30      21      38      31      34      39      29      31
       39      36      36      34      36      31      18      34
       33      31      37      32      31      37      38      27
       31      37      27      41      36      44      39      42
       35      27      29      29      34      34      30      31
       34      29      32      34      42      37      42      40
       45      42      37      35      36      35      45      42
       37      45      28      32      40      38      31      35
       41      31      46      35      38      35      36      33
       38      35      39      33      41      43      41      39
       31      39      31      46      39      36      44      53
       39      49      26      42      47      39      49      49
       54      39      47      44      47      41      45      54
       44      44      47      35      50      45      30      57
       42      44      42      49      47      40      43      52
       33      38      47      35      43      45      43      45
       45      53      50      60      58      46      47      60
       53      53      58      41      56      55      56      63
       50      59      61      81      94     109     159     251
      388     505     631     670     623     533     398     279
      164     107      87      79      66      74      64      71
       61      56      62      67      54      65      60      57
       57      57      50      57      57      65      54      60
       47      77      65      60      65      45      53      43
       67      55      65      55      72      60      65      57
       62      60      61      56      57      61      53      55
       56      56      63      61      73      60      71      61
       56      66      66      53      59      63      68      77
       71      69      59      69      66      59      67      76
       67      69      59      81      79      82      67      94
       64      62      79      59      87      77      64      72
       77      60      75      87      83      77      87      77
       75      82      85      85      77      83      80      90
       88      95      90      90      81      96     101      98
      101     113     118     105     111     121     121     113
      123     118     124     144     149     161     179     211
      247     297     369     550     869    1574    2675    4164
     5526    6858    7486    7227    5998    4428    2821    1599
      892     560     435     360     328     293     288     268
      242     227     199     193     167     182     168     157
      192     217     278     393     531     664     737     819
      792     679     546     394     283     200     161     148
      147     128     116     121     133     120     126     133
      154     174     213     319     502     702     969    1222
     1407    1365    1252     991     731     485     310     224
      182     156     139     123     128     122     117     101
      121      94     106     102     116     101     111      89
      109     106      94      90     102      99      92      76
       92      94     110      92      80     100      92      92
       89     103      78      82      87      85      86      82
       92      97      82     102     100      90      87      92
       88      90     103      96      97      88      86      86
       90      88      95      93      80      95      79      88
       83      86      81      84      79      89      94      78
       83      91      78      96      89      81      97      86
       94      94      97      86     102      92     104      81
       91      82      94      84      92      84      99      95
       89      87      94      89      82      99      94      84
       82      78      95      87      83      85      83     103
       80      87      95      85      92     100      93      98
       93      90      98      91     100      96     106      91
      106      96      83      91     106      91      86      91
       81      99      89      88      86      99      96     101
       98      98      79      92      84      86      96     104
       94      94      97     101      92     104      87      97
       89      87      85      90      89      85      99      94
       84      97      90      91      97      94     100      90
       95      93      94      80      98      93      95     107
      100      87      97     100      93     103     110      88
       83      91      80      98      83      90      81      93
      100      96     101      88     116      96      99      93
       88      94      84      94     104      93      89     106
       93      96     102     109      99      99      96      97
       87     111      87      99      96      91     104     102
       94      95     100      90     104     100      97     104
       97      92      92      95      97     105      98      90
       98      87      90     115     112     102     115      95
       93     112     110     115     103      96      97     111
      120     103     111     115      98     120     121     118
      131     126     125     133     148     144     169     196
      252     349     527     776    1115    1355    1510    1520
     1313    1039     728     445     294     226     179     164
      154     142     136     136     155     136     141     145
      130     140     155     172     149     159     168     183
      197     170     192     202     213     223     222     235
      231     230     235     248     266     290     348     474
      654    1016    1570    2396    3288    4196    4849    5114
     4785    4171    3238    2285    1520     988     657     475
      369     284     259     214     196     203     184     166
      159     169     153     151     151     161     149     151
      134     149     146     149     157     142     149     162
      147     142     141     146     149     155     155     142
      160     161     172     162     192     187     207     207
      228     229     273     292     363     409     534     747
     1164    1876    3188    4951    6875    8688   10000    9945
     8801    6917    4776    2920    1600     985     675     499
      409     363     337     332     289     309     306     307
      329     327     324     322     352     329     286     274
      231     227     191     174     159     151     153     149
      129     144     139     131     127     121     127     119
      116     124     122     127     117     102     114     107
      120     124     114     124     120     105     115      97
      130     110     102     107     110     103     107     115
      117      83     108      95     103     102     110     112
       98     103     111     108      96      83     110     103
      108     113     113     105     105     101      98      98
      103     111     106      91      99      98      96     114
       91      93     103     111     101     106     102     107
      101      99     104     105     111     112     111      96
      112     111     116     147     149     152     184     232
      327     536     739    1027    1248    1368    1371    1185
      912     647     416     263     190     163     153     133
      130     102     127     105     122     113     120     100
      103     113     108     110     123     108     111     115
      128     118     113     121     118     101     111     103
      111     114     121     104      91      98     118      98
      111     101      89      89     104      96      94     111
      102      97     119     117     116     137     136     147
      155     215     267     363     436     511     568     558
      571     485     398     303     227     197     135     130
      112     103     102     113      90      97      98      90
       95      88      92      83      90     100      97      93
       96      93      81      86      96      95      86      91
       85      95      68      86      87      83      91      88
      101      91      76      77      94      81      83      89
       83      83      88      93      86      96      91      76
       89      82      96      91      89      86      87      99
       77      86      77      77      77      79      80      82
       90      79     109      79      95      97      85      79
       85      86      85      77      83      84      87      80
       87      77      93      82      80      77      90      91
       81      82     103      91      83      86      86      87
       91      85      95      91      96      84      91      96
       91      96      93      89      84     101      83      93
       93      91     104     109     121     126     137     154
      192     239     304     405     496     610     656     664
      598     550     438     335     230     160     132     109
      127      91     101      87      94      91      91      91
       86      99      66      88      78      76      78      81
       93      86      98      89      81      83      86      85
       81      85      78      86      85      88      72      86
       81      72      76      77     105      85      87      97
       87      83      93      85      82      90      88      82
       77      87      75      95      82      74      94      90
       85      80     104     119     135     144     177     219
      262     247     244     217     192     157     129     127
      117     121      94     101      91     102     103     114
      126     148     143     143     153     134     123     103
      109      99      86      84     101      78      78      98
       88      95      81      88      85      83      75      95
       78      85      90      93      76      81      91      83
       80      78      78      90      83      88      80      92
      102      78      92      87      90      92      87      85
       89      99      90      89     100      80      94      90
      102      89     122     105     102     112     113     121
      136     142     185     215     305     453     716    1075
     1564    2091    2457    2587    2507    2138    1534    1002
      620     374     246     201     163     151     123     118
      101     108     111     115     105     101     102     103
       98     110     110      96     103     106     118     115
      108     120     113     107     108     112     128     105
       87      97      98      92     100      80      82      80
       93      90      92      94     100      85     109     110
      144     149     179     197     205     205     180     177
      142     117     101      97      72      87      76      79
       84      73      77      78      73      68      64      84
       85      73      78      78      71      79      81      71
       79      76      65      73      83      75      80      68
       88      91      78      86      58      73      76      75
       65      70      70      81      72      85      82      82
       85      73      72      68      87      80      85      75
       78      74      82      74      85      84      70      82
       92      87      84      79      74      80     104      99
       99     120     137     180     237     302     400     445
      478     452     379     309     216     179     137     111
       96      96      88      99      94     101      96     103
      103     101     113     119     114     118     121     141
      141     171     171     234     288     411     595     856
     1254    1718    2222    2548    2787    2724    2468    1997
     1588    1119     763     551     423     331     281     230
      190     168     187     173     155     153     152     147
      145     135     145     152     177     194     232     285
      350     483     709    1005    1419    1838    2276    2579
     2687    2705    2412    2158    1682    1333    1030     811
      728     741     856    1004    1100    1139    1072     899
      728     517     365     237     181     151     134     124
      116     103     101     100     101     100     113      95
      115     131     128     150     170     161     155     143
      120     103     105      97      98      85      83      82
       85      85      74      78      75      67      83      78
       62      72      70      64      69      75      69      64
       69      67      68      69      67      66      66      66
       76      61      69      67      57      69      66      71
       54      56      59      63      61      64      66      59
       54      61      58      51      59      61      56      60
       58      55      56      45      51      66      61      62
       51      61      53      58      55      58      57      58
       52      53      76      63      60      65      63      45
       60      63      64      64      55      49      64      57
       59      54      57      64      54      60      49      65
       54      52      59      54      51      51      47      57
       57      58      52      53      54      57      49      56
       52      56      54      53      51      56      56      48
       51      63      53      56      44      59      44      48
       55      56      48      55      63      46      55      46
       56      51      48      51      46      48      46      58
       57      43      48      53      60      47      57      60
       50      53      55      45      47      45      54      57
       47      54      57      54      60      47      49      50
       59      49      50      57      59      44      44      57
       51      52      47      56      51      47      46      57
       58      44      46      53      41      46      51      54
       68      74      79      86     104     134     161     164
      171     157     121     116      96      73      56      60
       56      60      50      56      55      43      51      56
       60      52      68      58      58      62      62      70
       48      57      62      52      57      58      63      55
       65      60      67      65      57      55      77      74
       74      70      79      74      77      84      79      82
       74      84      90      89      94      95     112     117
      118     144     169     202     260     317     413     457
      512     566     593     591     626     715     914    1265
     1824    2680    3612    4540    5220    5466    5137    4375
     3248    2246    1398     828     515     381     298     266
      236     238     251     248     259     263     249     203
      203     171     141     130     120     120     108     120
      113     123     118     127     115     130     128     123
      128      98     100     101      82      80      82      80
       75      69      61      59      61      61      62      57
       51      46      51      44      44      49      46      51
       44      49      44      39      43      36      44      45
       39      41      49      50      43      48      58      55
       56      76      86      86      94      98     109      95
       85      78      60      63      60      53      53      54
       40      42      38      38      37      28      32      33
       34      37      37      30      45      30      44      35
       39      39      44      29      35      29      35      40
       22      30      29      34      26      42      46      34
       32      31      29      34      37      31      46      42
       29      32      41      41      53      39      56      49
       46      48      39      38      41      26      34      36
       28      29      26      31      28      41      35      35
       21      35      30      28      30      33      23      31
       30      30      25      30      33      35      27      35
       28      29      27      25      32      30      30      37
       32      30      31      34      35      29      32      29
       30      27      25      39      32      42      27      34
       22      26      21      34      24      31      24      37
       32      39      42      46      46      46      43      46
       41      41      34      31      33      36      33      19
       33      31      23      28      40      25      35      28
       28      26      43      43      45      56      58      68
       91     101     130     130     153     133     131     111
       88      83      65      52      45      57      48      55
       47      60      65      55      55      60      72      82
       82     108     134     185     247     366     461     566
      674     746     774     766     692     576     503     373
      289     250     214     197     192     185     172     141
      132      91      81      68      64      71      79      83
      104     129     162     191     194     189     172     146
      113      84      61      50      41      48      35      43
       33      26      28      29      33      23      27      33
       22      27      32      28      32      25      18      32
       32      23      27      23      30      25      30      22
       22      19      27      27      30      27      24      20
       12      17      24      24      29      27      31      27
       26      26      27      44      37      54      46      44
       51      57      59      94     127     159     206     269
      324     335     342     286     241     186     119      78
       54      55      33      30      26      33      18      38
       23      23      30      20      20      26      18      20
       17      23      25      30      27      37      28      29
       25      32      35      27      23      30      30      54
       49      50      59      64      77      77      80      79
       65      55      39      29      27      20      24      21
       22      24      14      17      14      16      29      17
       12      26      27      31      14      11      18      16
        9      11       9      11      16      21      18      16
       13      20       8      13      23      20      15      17
       15      16       5      18      10      19      22      20
       21      17      15      21      16      11      11      17
       18      23      18      14      13      13      19      11
       18       6      13      25      20      13      20      13
       10      17      27      18       0      20      25      15
       17      20       9       9      19      29      17      19
       16      14      11      21      13      19      21      14
       11      23      14      16      20      23      23      20
       13      20      15      17      22      23      20      22
       15      24      15      17      14      22      20      12
       17      19      16      17      11      22      21      26
       11      21      23      16       8      13      16      18
       31      25      26      36      35      50      72      80
       95      92      95      90      83      67      55      62
       50      54      85     110     127     135     132     122
      114      81      69      48      51      33      29      21
       15      18      23      18      21      20      15      20
       20      27      18      18      20      17      17      25
       22      20      22      19      24      19      27      21
       31      17      22      32      38      36      46      54
       46      48      56      43      35      35      31      30
       25      25      20      23      22      25      10      20
       22      15      24      24      14      22       7      22
       16      26      16      17      16      24      12      21
        7      26      21      31      31      18      24      28
       13      29      34      28      24      19      28      28
       21      24      25      15      23      26      31      18
       20      25      15      26      23      20      25      28
        8      20      17      17      28      18      23      25
       15      13      23      33      18      19      20      23
       24      14      25      14      17      19      19      20
       25      22      20      25      26      25      26      17
       26      21      29      26      34      31      36      39
       46      54      67      92      94     155     207     300
      380     437     497     508     485     393     282     207
      133      94      64      48      44      34      38      48
       35      28      21      23      23      26      21      18
       19      36      26      21      23      23      28      20
       28      13      23      20      23      22      27      25
       22      23      18      17      25      25      24      24
       27      25      25      27      25      24      35      36
       27      30      20      34      32      24      26      32
       29      24      19      21      27      22      23      29
       26      34      26      21      28      28      23      23
       23      21      23      24      28      14      23      31
       21      28      24      30      26      27      31      26
       30      25      28      21      25      26      27      30
       13      21      13      27      27      22      22      30
       22      25      27      25      18      27      23      18
       17      23      29      22      27      20      25      27
       19      27      25      39      25      39      52      44
       60      74     102     129     150     162     179     152
      139     112      81      56      49      41      37      31
       34      28      39      29      26      23      26      33
       31      29      28      29      31      44      45      48
       63      55      63      75      75      73      70      70
       65      60      46      47      43      48      43      40
       40      38      28      32      32      33      37      27
       27      35      30      33      34      23      25      22
       39      25      26      32      30      25      25      26
       30      31      34      29      29      24      24      26
       26      29      24      29      22      27      26      29
       27      19      29      31      31      33      21      31
       28      41      28      39      28      44      33      29
       30      39      31      33      26      36      31      36
       33      25      33      30      30      21      25      20
       31      25      31      27      28      23      33      37
       30      37      32      37      25      32      37      33
       35      32      33      40      34      44      35      40
       39      39      50      62      80      90     117     142
      185     207     247     268     280     280     275     242
      232     169     136     107      92      81      84      84
       67      84      89      97     131     157     204     265
      315     349     382     382     349     324     256     237
      222     201     228     269     309     311     319     324
      287     229     189     136     104      78      66      65
       51      52      48      45      31      40      46      33
       43      36      50      46      31      36      38      39
       33      38      33      34      30      40      43      43
       37      47      43      58      52      43      67      52
       50      43      40      50      37      43      45      43
       45      50      47      45      52      52      44      50
       49      49      50      62      52      55      64      77
       88     110     132     183     223     303     345     433
      464     468     496     478     431     426     358     298
      260     213     172     129     117     110      92      64
       69      57      47      44      46      39      41      39
       37      37      31      37      36      36      34      26
       31      36      37      24      34      31      37      32
       36      27      22      27      24      34      31      19
       36      26      26      26      31      31      33      38
       36      34      29      34      31      29      36      29
       31      34      36      34      44      34      28      26
       39      28      29      36      34      35      26      28
       35      38      33      36      33      45      41      63
       60      88      79      89      96     106      96      86
       68      75      65      53      36      45      43      41
       31      32      31      36      50      40      43      55
       60      65      67      85      98      98      91      95
       98      91      85      78      95      88      89      97
       88      85      70      73      55      62      77      75
       97      97     113     108      92      95      77      70
       57      54      45      42      40      32      37      30
       34      24      37      37      34      29      25      30
       31      37      30      27      25      30      22      30
       34      29      29      34      30      32      39      29
       29      39      42      51      59      57      69     104
      104     122     134     127     140     127      96      99
       84      72      66      76      49      41      37      32
       41      34      36      31      34      41      28      36
       26      33      43      29      31      39      38      53
       49      46      58      61      68      88      71      86
       79      71      73      76      74      56      59      46
       47      36      34      43      34      30      33      28
       35      38      33      35      30      31      25      26
       35      25      26      21      16      23      30      26
       33      36      23      26      27      35      30      21
       31      25      33      30      28      22      35      32
       33      23      22      28      33      22      28      29
       32      22      35      30      23      27      28      30
       28      25      26      28      32      25      27      22
       27      35      25      40      28      35      30      37
       34      50      35      49      64      60      55      50
